"plate"	"row"	"column"	"sample_type"	"sample"	"sample_name"	"concentration"	"dilution"	"time"	"replicate"	"treatment"	"cell_line"	"HGF"	"dilSeriesID"
2	C	3	measurement	Caki1_0ng_ml	Caki1_0ng_ml_rep1_0	1.6	1	0	1	0ng_ml	Caki1	0	Caki1
2	C	4	measurement	Caki1_0ng_ml	Caki1_0ng_ml_rep2_0	0.9	1	0	2	0ng_ml	Caki1	0	Caki1
2	C	5	measurement	Caki1_0ng_ml	Caki1_0ng_ml_rep3_0	1.6	1	0	3	0ng_ml	Caki1	0	Caki1
2	C	6	measurement	Caki1_10ng_ml	Caki1_10ng_ml_rep1_0	1.6	1	0	1	10ng_ml	Caki1	10	Caki1
2	C	7	measurement	Caki1_10ng_ml	Caki1_10ng_ml_rep2_0	0.9	1	0	2	10ng_ml	Caki1	10	Caki1
2	C	8	measurement	Caki1_10ng_ml	Caki1_10ng_ml_rep3_0	1.6	1	0	3	10ng_ml	Caki1	10	Caki1
2	C	9	measurement	Caki1_25ng_ml	Caki1_25ng_ml_rep1_0	1.6	1	0	1	25ng_ml	Caki1	25	Caki1
2	C	10	measurement	Caki1_25ng_ml	Caki1_25ng_ml_rep2_0	0.9	1	0	2	25ng_ml	Caki1	25	Caki1
2	C	11	measurement	Caki1_25ng_ml	Caki1_25ng_ml_rep3_0	1.6	1	0	3	25ng_ml	Caki1	25	Caki1
2	C	12	measurement	Caki1_50ng_ml	Caki1_50ng_ml_rep1_0	1.6	1	0	1	50ng_ml	Caki1	50	Caki1
2	C	13	measurement	Caki1_50ng_ml	Caki1_50ng_ml_rep2_0	0.9	1	0	2	50ng_ml	Caki1	50	Caki1
2	C	14	measurement	Caki1_50ng_ml	Caki1_50ng_ml_rep3_0	1.6	1	0	3	50ng_ml	Caki1	50	Caki1
2	C	15	measurement	Caki1_75ng_ml	Caki1_75ng_ml_rep1_0	1.6	1	0	1	75ng_ml	Caki1	75	Caki1
2	C	16	measurement	Caki1_75ng_ml	Caki1_75ng_ml_rep2_0	0.9	1	0	2	75ng_ml	Caki1	75	Caki1
2	C	17	measurement	Caki1_75ng_ml	Caki1_75ng_ml_rep3_0	1.6	1	0	3	75ng_ml	Caki1	75	Caki1
